카테고리,유형/업무,일감명/세부 내용,목표일,작업 상태,담당,업무 세부 내용 등/비고
[일감],신규,#204147 [WK10.1][DC2.0][정책 > 웹/넷앱/HTTPS정책] 정책 목록 헤더 체크박스와 개별 체크박스 간 동기화 오류,,완료,,
[일감],신규,#204180 [WK10.1][DC2.0][정책 > 웹/넷앱/HTTPS정책] 알림 메시지 상세 보기 모달에서 메시지 유형의 "내용" 영역 수정 가능한 현상,,완료,,
[자동화테스트 운영],webkeeper 기능기반 리스트 작성 (웹/넷앱/HTTPS 정책),"미저장변경사항경고, 바로가기링크 관련 24개 작성",,,,01-16
[자동화테스트 운영],webkeeper playwright 유지보수,main.steps.ts에서 test 모듈 import (step안의 test.setTimeout() 사용),,,,01-16
[자동화테스트 운영],webkeeper 기능기반 리스트 작성 (웹/넷앱/HTTPS 정책),바로가기링크 관련 8개 작성,,,,01-19
[자동화테스트 운영],Privacy-i macOS 유지보수,"test_ED_6968_1_media_cd (최근 3개 로그 안에서 관련 로그 체크), test_ED_6926_2_file_archive_approval (결재페이지 로드 딜레이 시간 연장)",,,,01-19
[자동화테스트 운영],claude command "/redmine-bug" 개발,redmine 본문 생성,,,,01-20
[자동화테스트 운영],webkeeper playwright 요청테스트,"관련 일감: #203799 업무요청 [우리은행][WSG-Suite] sbom 점검결과 취약점 조치계획 확인 요청의 건",,,,01-21
[자동화테스트 운영],Privacy-i macOS 유지보수,"모든 java에 대해 전체디스크접근권한 허용 설정 관련 applescript 작업 / pr_piconfig.xml 파일 내의 AutoEnDecrypt 옵션 반영",,,,01-21
[자동화테스트 운영],Privacy-i macOS 자동화 개선,"'macOS 시스템 설정' stage 추가 (설정 > 전체 디스크 접근 권한 > java 토글 off 시 on), pr_piconfig.xml의 AutoEnDecrypt 옵션이 True가 아닌 경우 cm_piinterface.xml의 AutoEnDecrypt 옵션과 무관하게 암복호화 시 비밀번호 입력 (추가 수정)",,,,01-22
[자동화시스템 개발],webkeeper feeder 서비스 개발,"부서관련 API 개발 작업, 사용자와 부서 API 테스트코드 작성 및 운영",,,,01-16
[자동화시스템 개발],webkeeper feeder 서비스 개발,"사용자 및 부서 API 실패한 테스트 반영하여 API 수정, claude skill 생성",,,,01-19
[자동화시스템 개발],AI유지보수 자동화 (프로토콜 테스트),"readJSON을 JsonSlurper로 변경, 자동/수동 모드 파라미터 검증 및 분기 로직 추가",,,,01-19
[자동화시스템 개발],webkeeper feeder 서비스 개발,웹/넷앱/HTTPS 정책 관련 API 작성,,,,01-20
[자동화시스템 개발],AI유지보수 자동화 (프로토콜 테스트),"자동/수동 모드 파라미터 검증 및 분기 로직 수정, SELECTOR_CHANGE 판단 기준 강화 및 파싱 로직 개선",,,,01-20
[자동화시스템 개발],webkeeper feeder 서비스 개발,"웹/넷앱/HTTPS 정책 생성 시, 웹카테고리 및 넷앱카테고리 반영 안되는 현상 확인",,,,01-21
[기타],회의,"프로그램 버전 체크 및 다운로드 관련 회의 (with 팀장님, 최지우 인턴)",,,,01-16
[기타],회의,버전 웹크롤링 관련 논의 (w최지우 인턴),,,,01-21
[기타],버전 웹크롤링,"업무 현황 확인 및 방향 논의 (w최지우 인턴), 개발환경 세팅 지원 (gitlab 계정, 아름 인스턴스)",,,,01-22
